id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
5269,7620,Lea & Pat,Hawaii,South Kohala,20.0274,-155.702,Entire home/apt,144,5,27,4,180,7,4.65,1.0,1.0,1.0,Rental unit
5387,7878,Edward,Hawaii,South Kona,19.43081,-155.88069,Entire home/apt,105,5,208,3,151,15,4.65,0.0,2.0,1.0,Rental unit
81582,442698,Elizabeth,Hawaii,Puna,19.43428,-155.21609,Entire home/apt,119,2,181,2,69,54,4.94,2.0,2.0,1.0,Home
5389,7878,Edward,Hawaii,North Kona,19.56604,-155.96199,Entire home/apt,352,5,48,3,250,12,4.87,3.0,3.0,3.0,Home
83221,451536,Connie And Andrew,Hawaii,Puna,19.53979,-155.00207,Entire home/apt,117,3,311,1,323,23,4.93,1.0,1.0,1.0,Cab
5480,8145,Normand,Hawaii,Puna,19.44149,-154.91527,Private room,134,2,0,3,365,0,New,1.0,1.0,0.0,Cab
8833,21349,Linda,Hawaii,North Kona,19.60668,-155.97585,Entire home/apt,149,3,310,1,179,29,4.42,2.0,2.0,2.0,Rental unit
87596,479545,Randall,Hawaii,South Hilo,19.81485,-155.10288,Entire home/apt,124,3,265,2,204,36,4.94,1.0,1.0,1.0,Guesthouse
312200,1605180,Morris,Hawaii,Puna,19.58041,-155.00754,Entire home/apt,183,3,573,1,323,41,4.96,2.0,2.0,2.0,Home
320684,1643064,Kurt,Hawaii,South Kona,19.48832,-155.91014,Private room,149,2,60,3,280,8,4.93,1.0,1.0,0.0,Home
13527,52967,Beth,Hawaii,North Kona,19.61632,-155.98305,Entire home/apt,169,9,7,1,176,0,3.83,1.0,1.0,1.0,Place to stay
323819,1534698,Dan,Hawaii,Puna,19.60004,-154.94348,Entire home/apt,240,3,41,5,138,0,4.98,2.0,2.0,2.0,Rental unit
330691,1643064,Kurt,Hawaii,South Kona,19.47682,-155.89774,Private room,159,2,126,3,272,17,4.9,1.0,1.0,0.0,Bed and breakfast
13688,53657,Iliahi J.,Hawaii,Puna,19.39402,-154.9306,Entire home/apt,299,3,165,2,205,20,4.85,3.0,3.0,2.0,Home
112698,430276,Heather,Hawaii,Puna,19.40633,-154.92364,Entire home/apt,119,2,73,2,319,4,4.78,1.0,1.0,1.0,Home
333624,1699469,Sylvia,Hawaii,North Kona,19.71875,-155.99356,Private room,125,3,174,2,355,22,4.97,1.0,1.0,0.0,Home
342158,1423797,Jade,Hawaii,South Hilo,19.71866,-155.09611,Private room,154,1,55,10,326,3,4.4,1.0,1.0,0.0,Home
13901,54663,Janelle,Hawaii,Puna,19.52373,-154.84746,Entire home/apt,65,3,213,7,313,23,4.59,0.0,2.0,1.0,Farm stay
342159,1423797,Jade,Hawaii,South Hilo,19.719,-155.09657,Private room,155,1,32,10,292,1,4.32,1.0,1.0,0.0,Home
118560,295585,Heather,Hawaii,South Kona,19.468897,-155.907043,Entire home/apt,180,1,392,3,295,72,4.86,1.0,1.0,1.0,Guest suite
13932,8145,Normand,Hawaii,Puna,19.44284,-154.92141,Private room,89,3,0,3,350,0,New,1.0,1.0,0.0,Hut
13933,54814,Greg,Hawaii,Puna,19.43437,-155.22057,Entire home/apt,309,1,97,1,354,19,4.74,3.0,3.0,2.0,Home
125968,7620,Lea & Pat,Hawaii,South Kohala,20.02678,-155.67889,Entire home/apt,112,5,35,4,166,8,4.68,1.0,1.0,1.0,Rental unit
342351,283136,Steve,Hawaii,South Kona,19.45073,-155.87281,Entire home/apt,122,4,121,4,192,23,4.83,1.0,1.0,1.0,Farm stay
354577,1795667,Caryl,Hawaii,North Kona,19.72466,-155.99536,Entire home/apt,106,4,326,2,308,38,4.85,0.0,1.0,1.0,Guest suite
19416,32184,Edgar,Hawaii,North Kona,19.57365,-155.96716,Entire home/apt,369,1,164,2,306,2,4.81,2.0,2.0,2.0,Townhouse
23814,94828,Liz,Hawaii,Puna,19.55471,-154.96063,Entire home/apt,95,3,405,2,255,49,4.75,2.0,2.0,1.0,Home
381247,1905893,James & Keiko,Hawaii,North Kona,19.61995,-155.96115,Entire home/apt,188,2,411,1,242,51,4.93,2.0,2.0,1.0,Guesthouse
24119,94828,Liz,Hawaii,Puna,19.5599,-154.96674,Private room,58,3,201,2,357,21,4.65,1.0,1.0,1.0,Home
