id,host_id,host_name,availability_365,price,latitude,longitude,number_of_reviews,review_scores_rating,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,accommodates,bathrooms,bedrooms,beds,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,calculated_host_listings_count
81582,442698,Elizabeth,69,119.0,19.43428,-155.21609,181,4.94,2,10,4.97,4.91,4.94,4.94,4.94,4.83,0,4,0.0,2.0,3.0,Puna,Hawaii,Entire home/apt,2
83221,451536,Connie And Andrew,323,117.0,19.53979,-155.00207,311,4.93,3,30,4.98,4.97,4.97,4.96,4.86,4.94,0,3,0.0,1.0,1.0,Puna,Hawaii,Entire home/apt,1
5269,7620,Lea & Pat,180,144.0,20.0274,-155.702,27,4.65,5,1125,4.85,4.38,5.0,4.88,5.0,4.85,0,2,0.0,1.0,1.0,South Kohala,Hawaii,Entire home/apt,4
5387,7878,Edward,151,105.0,19.43081,-155.88069,208,4.65,5,60,4.67,4.43,4.86,4.87,4.74,4.76,1,2,0.0,0.0,2.0,South Kona,Hawaii,Entire home/apt,3
87596,479545,Randall,204,124.0,19.81485,-155.10288,265,4.94,3,7,4.95,4.93,4.97,4.96,4.89,4.89,0,3,0.0,1.0,2.0,South Hilo,Hawaii,Entire home/apt,2
5389,7878,Edward,250,352.0,19.56604,-155.96199,48,4.87,5,60,4.92,4.83,4.98,4.85,4.98,4.75,0,6,0.0,3.0,4.0,North Kona,Hawaii,Entire home/apt,3
5480,8145,Normand,365,134.0,19.44149,-154.91527,0,0.0,2,60,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,1.0,Puna,Hawaii,Private room,3
8833,21349,Linda,179,149.0,19.60668,-155.97585,310,4.42,3,100,4.52,4.45,4.81,4.78,4.74,4.55,0,4,0.0,2.0,3.0,North Kona,Hawaii,Entire home/apt,1
13527,52967,Beth,176,169.0,19.61632,-155.98305,7,3.83,9,120,3.67,3.17,4.33,4.0,4.83,3.83,0,4,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,1
112698,430276,Heather,319,119.0,19.40633,-154.92364,73,4.78,2,1125,4.88,4.81,4.91,4.77,4.7,4.75,0,2,0.0,1.0,1.0,Puna,Hawaii,Entire home/apt,2
118560,295585,Heather,295,180.0,19.468897,-155.907043,392,4.86,1,30,4.94,4.83,4.95,4.96,4.9,4.83,1,2,0.0,1.0,1.0,South Kona,Hawaii,Entire home/apt,3
13688,53657,Iliahi J.,205,299.0,19.39402,-154.9306,165,4.85,3,1125,4.88,4.86,4.92,4.92,4.83,4.8,0,7,0.0,3.0,5.0,Puna,Hawaii,Entire home/apt,2
125968,7620,Lea & Pat,166,112.0,20.02678,-155.67889,35,4.68,5,200,4.71,4.63,4.85,4.77,4.79,4.71,0,2,0.0,1.0,2.0,South Kohala,Hawaii,Entire home/apt,4
13901,54663,Janelle,313,65.0,19.52373,-154.84746,213,4.59,3,40,4.76,4.3,4.81,4.76,4.69,4.75,1,3,0.0,0.0,2.0,Puna,Hawaii,Entire home/apt,7
13932,8145,Normand,350,89.0,19.44284,-154.92141,0,0.0,3,365,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,1.0,Puna,Hawaii,Private room,3
13933,54814,Greg,354,309.0,19.43437,-155.22057,97,4.74,1,179,4.85,4.87,4.88,4.85,4.94,4.61,0,11,0.0,3.0,3.0,Puna,Hawaii,Entire home/apt,1
19416,32184,Edgar,306,369.0,19.57365,-155.96716,164,4.81,1,365,4.88,4.74,4.95,4.91,4.93,4.75,0,4,0.0,2.0,3.0,North Kona,Hawaii,Entire home/apt,2
168169,801306,Barbara,292,215.0,19.62159,-155.98484,127,4.52,3,30,4.59,4.35,4.9,4.83,4.88,4.51,0,5,0.0,2.0,4.0,North Kona,Hawaii,Entire home/apt,1
23814,94828,Liz,255,95.0,19.55471,-154.96063,405,4.75,3,15,4.82,4.59,4.89,4.82,4.65,4.85,0,4,0.0,2.0,4.0,Puna,Hawaii,Entire home/apt,2
24119,94828,Liz,357,58.0,19.5599,-154.96674,201,4.65,3,10,4.78,4.53,4.81,4.8,4.48,4.77,0,2,0.0,0.0,1.0,Puna,Hawaii,Private room,2
168203,7683071,Eric,128,115.0,19.62188,-155.98454,135,4.63,3,60,4.76,4.65,4.95,4.88,4.86,4.76,0,2,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,1
