id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
81566,442490,Susan,Honolulu,North Shore Oahu,21.589247,-158.111008,Entire home/apt,250,4,260,1,249,15,4.67,2.0,2.0,1.0,Rental unit
300379,677327,Richard,Honolulu,Primary Urban Center,21.30145,-157.84413,Private room,81,3,237,37,118,20,4.58,1.0,1.0,0.0,Rental unit
307004,1579356,Cheri,Honolulu,Koolaupoko,21.39784,-157.73064,Entire home/apt,229,30,209,2,253,1,4.98,1.0,1.0,1.0,Rental unit
87671,328451,Samuel,Honolulu,North Shore Oahu,21.64557,-158.06189,Entire home/apt,228,5,59,2,206,0,4.61,2.0,2.0,1.0,Home
104447,71120,Mike And Nicky,Honolulu,Primary Urban Center,21.29021,-157.83665,Entire home/apt,90,30,22,5,110,2,4.77,1.0,1.0,1.0,Condo
104452,71120,Mike And Nicky,Honolulu,Primary Urban Center,21.279676,-157.823944,Entire home/apt,86,30,44,5,111,2,4.53,0.0,1.0,1.0,Rental unit
138781,677327,Richard,Honolulu,Primary Urban Center,21.30181,-157.84443,Private room,91,3,202,37,163,37,4.57,1.0,1.0,0.0,Rental unit
152046,85234,Kurt,Honolulu,Primary Urban Center,21.27296,-157.82239,Entire home/apt,92,3,341,3,177,23,4.71,0.0,1.0,1.0,Condo
18465,71120,Mike And Nicky,Honolulu,Primary Urban Center,21.27358,-157.82087,Entire home/apt,189,3,97,5,293,11,4.82,1.0,1.0,1.0,Rental unit
370635,1867700,Norman,Honolulu,Primary Urban Center,21.28567,-157.83336,Entire home/apt,103,1,151,3,266,15,4.71,0.0,3.0,1.0,Rental unit
18466,71120,Mike And Nicky,Honolulu,Primary Urban Center,21.27437,-157.82043,Entire home/apt,214,3,86,5,233,6,4.86,1.0,1.0,1.0,Rental unit
20562,77633,Tom,Honolulu,Primary Urban Center,21.27918,-157.82846,Entire home/apt,169,1,70,6,290,24,4.86,0.0,2.0,1.0,Condo
164132,783033,Alfred & Deanna,Honolulu,Ewa,21.33491,-158.1222,Entire home/apt,661,6,109,1,281,29,4.91,3.0,3.0,3.0,Condo
23639,93320,Andy,Honolulu,North Shore Oahu,21.64094,-158.06281,Entire home/apt,896,5,65,2,200,10,4.84,3.0,3.0,2.0,Home
164963,770461,Meleana,Honolulu,North Shore Oahu,21.66324,-158.05261,Entire home/apt,450,30,135,3,312,2,4.82,2.0,2.0,1.0,Bungalow
385185,1928202,Meera,Honolulu,East Honolulu,21.27172,-157.70183,Private room,65,29,260,2,125,10,4.83,1.0,1.0,0.0,Home
408489,1579356,Cheri,Honolulu,Koolaupoko,21.39792,-157.72926,Entire home/apt,289,30,41,2,47,0,4.98,1.0,1.0,1.0,Rental unit
37099,85234,Kurt,Honolulu,Primary Urban Center,21.27151,-157.82316,Entire home/apt,100,3,286,3,73,30,4.79,2.0,2.0,1.0,Rental unit
38634,165595,Yarden,Honolulu,Primary Urban Center,21.28334,-157.8379,Private room,265,1,376,3,151,27,4.84,1.0,1.0,0.0,Hotel
38944,167085,John,Honolulu,North Shore Oahu,21.67348,-158.04001,Entire home/apt,199,30,267,2,78,12,4.82,1.0,1.0,1.0,Treehouse
