id,host_id,host_name,availability_365,price,latitude,longitude,number_of_reviews,review_scores_rating,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,accommodates,bathrooms,bedrooms,beds,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,calculated_host_listings_count
81566,442490,Susan,249,250.0,21.589247,-158.111008,260,4.67,4,1125,4.7,4.76,4.85,4.75,4.86,4.62,0,4,0.0,2.0,2.0,North Shore Oahu,Honolulu,Entire home/apt,1
87671,328451,Samuel,206,228.0,21.64557,-158.06189,59,4.61,5,1125,4.76,4.45,4.8,4.65,4.88,4.43,0,4,0.0,2.0,3.0,North Shore Oahu,Honolulu,Entire home/apt,2
104447,71120,Mike And Nicky,110,90.0,21.29021,-157.83665,22,4.77,30,1125,5.0,4.86,5.0,5.0,4.86,4.73,0,2,0.0,1.0,2.0,Primary Urban Center,Honolulu,Entire home/apt,5
104452,71120,Mike And Nicky,111,86.0,21.279676,-157.823944,44,4.53,30,365,4.4,4.41,4.67,4.58,4.79,4.51,0,2,0.0,0.0,1.0,Primary Urban Center,Honolulu,Entire home/apt,5
138781,677327,Richard,163,91.0,21.30181,-157.84443,202,4.57,3,28,4.65,4.36,4.81,4.87,4.58,4.65,0,2,0.0,0.0,1.0,Primary Urban Center,Honolulu,Private room,37
152046,85234,Kurt,177,92.0,21.27296,-157.82239,341,4.71,3,365,4.65,4.71,4.92,4.93,4.89,4.75,1,2,0.0,0.0,1.0,Primary Urban Center,Honolulu,Entire home/apt,3
18465,71120,Mike And Nicky,293,189.0,21.27358,-157.82087,97,4.82,3,1125,4.84,4.73,4.95,4.93,4.95,4.62,0,4,0.0,1.0,1.0,Primary Urban Center,Honolulu,Entire home/apt,5
18466,71120,Mike And Nicky,233,214.0,21.27437,-157.82043,86,4.86,3,365,4.87,4.73,4.81,4.94,4.93,4.81,1,4,0.0,1.0,1.0,Primary Urban Center,Honolulu,Entire home/apt,5
164132,783033,Alfred & Deanna,281,661.0,21.33491,-158.1222,109,4.91,6,90,4.89,4.92,4.98,4.96,4.96,4.82,0,8,0.0,3.0,5.0,Ewa,Honolulu,Entire home/apt,1
164963,770461,Meleana,312,450.0,21.66324,-158.05261,135,4.82,30,365,4.85,4.54,4.77,4.69,4.99,4.64,0,7,0.0,2.0,5.0,North Shore Oahu,Honolulu,Entire home/apt,3
20562,77633,Tom,290,169.0,21.27918,-157.82846,70,4.86,1,120,4.91,4.73,4.94,4.94,4.96,4.77,1,4,0.0,0.0,2.0,Primary Urban Center,Honolulu,Entire home/apt,6
23639,93320,Andy,200,896.0,21.64094,-158.06281,65,4.84,5,90,4.78,4.73,4.94,4.84,5.0,4.73,1,6,0.0,3.0,3.0,North Shore Oahu,Honolulu,Entire home/apt,2
37099,85234,Kurt,73,100.0,21.27151,-157.82316,286,4.79,3,180,4.83,4.77,4.9,4.9,4.9,4.8,0,2,0.0,2.0,1.0,Primary Urban Center,Honolulu,Entire home/apt,3
38634,165595,Yarden,151,265.0,21.28334,-157.8379,376,4.84,1,14,4.85,4.86,4.95,4.92,4.89,4.7,0,2,0.0,1.0,2.0,Primary Urban Center,Honolulu,Private room,3
38944,167085,John,78,199.0,21.67348,-158.04001,267,4.82,30,1125,4.88,4.7,4.88,4.85,4.95,4.72,0,3,0.0,1.0,2.0,North Shore Oahu,Honolulu,Entire home/apt,2
55000,259083,Morgan & Camille,192,105.0,21.48099,-158.20431,62,4.67,30,180,4.78,4.67,4.9,4.78,4.62,4.67,0,6,0.0,2.0,2.0,Waianae,Honolulu,Entire home/apt,1
66919,93320,Andy,243,506.0,21.63904,-158.06449,81,4.69,30,120,4.74,4.78,4.93,4.8,4.93,4.64,1,6,0.0,3.0,3.0,North Shore Oahu,Honolulu,Entire home/apt,2
210968,1040710,June,295,312.0,21.67876,-158.03348,486,4.67,2,180,4.71,4.67,4.91,4.89,4.83,4.61,0,4,0.0,1.0,2.0,North Shore Oahu,Honolulu,Entire home/apt,2
68045,10363580,Jennifer,296,466.0,21.70082,-157.99377,410,4.66,1,1125,4.76,4.65,4.81,4.87,4.85,4.66,1,6,0.0,2.0,3.0,Koolauloa,Honolulu,Entire home/apt,3
76320,407196,Dali,62,110.0,21.68001,-158.03499,104,4.88,30,1125,4.94,4.87,4.96,4.88,4.94,4.83,1,2,0.0,0.0,1.0,North Shore Oahu,Honolulu,Entire home/apt,1
223390,167085,John,73,199.0,21.67105,-158.03877,258,4.85,30,1125,4.86,4.75,4.85,4.8,4.9,4.67,0,3,0.0,1.0,1.0,North Shore Oahu,Honolulu,Entire home/apt,2
