id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
13238,51647,Annie/Greg,Kauai,North Shore Kauai,22.21789,-159.47184,Entire home/apt,169,3,166,2,219,25,4.48,0.0,1.0,1.0,Condo
91091,492687,Tony,Kauai,North Shore Kauai,22.2226,-159.4689,Private room,657,4,8,2,365,0,5.0,1.0,1.0,0.0,Resort
324798,1661953,Shannon,Kauai,Waimea-Kekaha,21.95525,-159.66977,Private room,230,180,15,1,0,0,4.67,1.0,1.0,0.0,Boutique hotel
152645,710680,Karl&Rachel,Kauai,North Shore Kauai,22.22042,-159.47754,Entire home/apt,110,3,200,3,140,16,4.56,1.0,1.0,1.0,Condo
153304,710680,Karl&Rachel,Kauai,North Shore Kauai,22.22266,-159.47804,Entire home/apt,195,3,138,3,146,18,4.65,2.0,2.0,2.0,Condo
153397,710680,Karl&Rachel,Kauai,North Shore Kauai,22.22097,-159.47804,Entire home/apt,285,3,20,3,95,3,4.74,3.0,3.0,3.0,Condo
162600,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06174,-159.32052,Entire home/apt,588,1,20,71,131,1,4.95,2.0,2.0,3.0,Condo
419153,2084492,Paul,Kauai,Lihue,22.04658,-159.33683,Entire home/apt,181,1,49,9,339,5,5.0,1.0,1.0,1.0,Rental unit
56024,265302,Susan,Kauai,North Shore Kauai,22.20206069946289,-159.5009002685547,Entire home/apt,1000,2,43,1,97,8,4.93,5.0,5.0,4.0,Home
440924,483893,Pamela,Kauai,Koloa-Poipu,21.87428,-159.44711,Entire home/apt,393,4,141,2,307,16,4.87,3.0,3.0,5.0,Rental unit
452084,101401250,Parrish Kauai,Kauai,Koloa-Poipu,21.8707,-159.44489,Entire home/apt,404,3,36,258,207,0,4.71,2.0,2.0,2.0,Rental unit
71385,365193,Rhonda,Kauai,North Shore Kauai,22.21886,-159.47578,Entire home/apt,380,180,80,2,365,2,4.81,3.0,3.0,3.0,Home
557699,2742136,Jayne,Kauai,Koloa-Poipu,21.881975173950195,-159.46762084960938,Entire home/apt,293,3,138,1,180,28,4.83,1.0,1.0,1.0,Condo
238797,1251758,Debra,Kauai,Waimea-Kekaha,21.96242,-159.70113,Entire home/apt,300,1,77,1,86,16,4.76,3.0,3.0,2.0,Home
248735,7984,Ahlea,Kauai,North Shore Kauai,22.22793,-159.48309,Entire home/apt,429,1,282,3,289,65,4.95,2.0,2.0,2.0,Condo
517327,2084492,Paul,Kauai,Kapaa-Wailua,22.04845,-159.33859,Entire home/apt,361,1,44,9,278,6,4.84,3.0,3.0,3.0,Home
262648,1378424,Lani,Kauai,North Shore Kauai,22.218618,-159.470871,Entire home/apt,184,2,421,2,59,35,4.84,1.0,1.0,1.0,Condo
522085,2084492,Paul,Kauai,Lihue,22.04721,-159.33857,Entire home/apt,181,1,67,9,284,14,4.99,1.0,1.0,1.0,Rental unit
524333,2084492,Paul,Kauai,Lihue,22.04676,-159.33845,Entire home/apt,181,1,42,9,239,8,5.0,1.0,1.0,1.0,Rental unit
529551,756093,Kaua’i,Kauai,Koloa-Poipu,21.8741,-159.4514,Entire home/apt,1265,1,4,71,197,1,4.75,8.0,8.0,4.0,Home
533471,2084492,Paul,Kauai,Kapaa-Wailua,22.04871,-159.3367,Entire home/apt,181,1,63,9,327,14,4.9,0.0,1.0,1.0,Guest suite
533482,2084492,Paul,Kauai,Lihue,22.0472,-159.33651,Entire home/apt,181,1,52,9,323,15,4.9,1.0,1.0,1.0,Guest suite
543600,2672407,Cameron,Kauai,Koloa-Poipu,21.87462,-159.44286,Private room,148,1,334,3,109,17,4.61,1.0,1.0,0.0,Home
804433,4177888,Mariana,Kauai,North Shore Kauai,22.22632,-159.48595,Private room,90,3,335,2,237,48,4.49,1.0,1.0,0.0,Guest suite
1033146,4932682,Lauren,Kauai,North Shore Kauai,22.20152,-159.50764,Entire home/apt,881,2,84,9,32,15,4.87,2.0,2.0,5.0,Home
836884,281160,Patrick,Kauai,North Shore Kauai,22.22312,-159.48421,Entire home/apt,300,3,76,1,0,11,4.75,2.0,2.0,2.0,Rental unit
855921,4473983,Donald,Kauai,Kapaa-Wailua,22.05208,-159.32837,Entire home/apt,195,3,55,1,17,5,4.85,0.0,2.0,1.0,Condo
663604,1195817,Eddi,Kauai,North Shore Kauai,22.19011,-159.34405,Private room,425,1,80,2,0,0,4.93,1.0,1.0,0.0,Bed and breakfast
663617,1195817,Eddi,Kauai,North Shore Kauai,22.19219,-159.34549,Private room,625,1,82,2,0,0,4.99,1.0,1.0,0.0,Bed and breakfast
667728,483893,Pamela,Kauai,Koloa-Poipu,21.87604,-159.44521,Entire home/apt,321,4,156,2,281,23,4.78,2.0,2.0,2.0,Rental unit
1069531,5884464,Coral,Kauai,North Shore Kauai,22.2278,-159.48485,Private room,210,3,275,3,354,32,4.65,1.0,1.0,0.0,Guest suite
1089389,680107,Hawaii Life,Kauai,North Shore Kauai,22.22185,-159.41383,Entire home/apt,742,3,97,162,334,11,4.74,0.0,1.0,0.0,Home
889489,4719949,House Of Dreams Kauai,Kauai,North Shore Kauai,22.20669,-159.42338,Entire home/apt,2000,5,2,3,250,1,New,6.0,6.0,5.0,Home
717081,2657251,Darcy And Tim,Kauai,Lihue,22.04915,-159.3676,Private room,249,3,20,3,365,0,4.68,1.0,1.0,0.0,Bed and breakfast
918451,4932682,Lauren,Kauai,North Shore Kauai,22.20158,-159.50326,Entire home/apt,860,1,104,9,211,22,4.94,2.0,2.0,2.0,Home
775128,2657251,Darcy And Tim,Kauai,Kapaa-Wailua,22.0496,-159.36678,Private room,249,3,37,3,365,9,4.86,1.0,1.0,0.0,Home
1132160,6210768,Donna,Kauai,North Shore Kauai,22.22328,-159.49321,Entire home/apt,563,5,128,1,165,17,4.98,3.0,3.0,5.0,Home
1170189,6406878,Dasan,Kauai,Kapaa-Wailua,22.0607,-159.3939,Entire home/apt,444,5,12,1,71,0,4.92,3.0,3.0,2.0,Home
1339958,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06064,-159.32081,Entire home/apt,493,1,14,71,184,5,5.0,2.0,2.0,3.0,Condo
1339976,756093,Kaua’i,Kauai,Kapaa-Wailua,22.0623,-159.31894,Entire home/apt,469,1,35,71,211,9,4.88,2.0,2.0,3.0,Condo
1365363,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06199,-159.31934,Entire home/apt,470,1,20,71,225,7,5.0,2.0,2.0,3.0,Condo
1365410,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06088,-159.32111,Entire home/apt,552,1,14,71,174,2,5.0,2.0,2.0,3.0,Condo
1365551,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06196,-159.31904,Entire home/apt,549,1,9,71,279,3,4.89,2.0,2.0,3.0,Condo
1365599,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06069,-159.32109,Entire home/apt,545,1,28,71,270,2,4.86,2.0,2.0,3.0,Condo
1371163,756093,Kaua’i,Kauai,Kapaa-Wailua,22.0624,-159.31953,Entire home/apt,509,1,17,71,264,7,4.65,2.0,2.0,3.0,Condo
1371205,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06159,-159.32117,Entire home/apt,517,1,24,71,253,2,4.92,2.0,2.0,3.0,Condo
1371229,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06225,-159.31922,Entire home/apt,402,1,14,71,190,3,4.86,1.0,1.0,2.0,Condo
1371261,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06222,-159.3192,Entire home/apt,387,1,8,71,262,5,5.0,1.0,1.0,2.0,Condo
1371646,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06023,-159.31972,Entire home/apt,462,1,30,71,239,7,4.9,2.0,2.0,3.0,Condo
1371681,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06192,-159.32062,Entire home/apt,410,1,15,71,247,6,4.67,2.0,2.0,3.0,Condo
1371734,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06234,-159.3189,Entire home/apt,410,1,22,71,242,6,4.86,2.0,2.0,3.0,Condo
1371831,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06005,-159.32092,Entire home/apt,395,1,40,71,232,17,4.82,2.0,2.0,3.0,Condo
1381735,1378424,Lani,Kauai,North Shore Kauai,22.218618392944336,-159.4708709716797,Entire home/apt,168,2,263,2,37,36,4.92,1.0,1.0,1.0,Condo
1296881,12625475,Florence,Kauai,Koloa-Poipu,21.88266,-159.47363,Entire home/apt,230,4,33,5,151,4,4.66,1.0,1.0,1.0,Condo
2037133,85132,Sanford,Kauai,Kapaa-Wailua,22.0614,-159.31959,Private room,379,2,17,11,365,1,4.71,1.0,1.0,0.0,Boutique hotel
1667744,680107,Hawaii Life,Kauai,North Shore Kauai,22.20254,-159.50165,Entire home/apt,795,3,42,162,19,4,4.98,0.0,3.0,0.0,Home
2042570,10474728,Barry & Melinda,Kauai,Koloa-Poipu,21.87214,-159.44276,Entire home/apt,385,6,4,1,16,1,4.75,2.0,2.0,2.0,Rental unit
1688964,8926031,John,Kauai,Koloa-Poipu,21.88223,-159.47517,Entire home/apt,355,5,19,1,109,3,5.0,1.0,1.0,1.0,Rental unit
1483081,7933497,Susan,Kauai,Koloa-Poipu,21.87471580505371,-159.44740295410156,Entire home/apt,319,6,115,1,142,20,4.84,3.0,3.0,5.0,Condo
2062382,10554548,Miguel,Kauai,North Shore Kauai,22.20304679870605,-159.49920654296875,Entire home/apt,625,3,163,2,284,28,4.94,3.0,3.0,2.0,Home
1507579,5884464,Coral,Kauai,North Shore Kauai,22.22803,-159.48498,Private room,165,3,319,3,310,36,4.81,1.0,1.0,0.0,Home
2129882,85132,Sanford,Kauai,Kapaa-Wailua,22.08743,-159.33697,Private room,379,2,9,11,365,0,4.78,1.0,1.0,0.0,Boutique hotel
2134954,6132660,Carol,Kauai,Kapaa-Wailua,22.06011,-159.37783,Private room,174,3,59,1,122,11,5.0,1.0,1.0,0.0,Place to stay
1756052,2672407,Cameron,Kauai,Koloa-Poipu,21.87323,-159.44469,Private room,186,1,202,3,228,12,4.69,1.0,1.0,0.0,Home
1759620,2672407,Cameron,Kauai,Koloa-Poipu,21.8738,-159.44506,Private room,154,1,249,3,201,15,4.5,1.0,1.0,0.0,Home
2150021,51647,Annie/Greg,Kauai,North Shore Kauai,22.2189,-159.46944,Entire home/apt,195,3,139,2,199,28,4.51,1.0,1.0,1.0,Condo
1589238,8478464,Pamela / Kevin,Kauai,Waimea-Kekaha,21.96173,-159.70268,Entire home/apt,250,1,473,1,304,107,4.71,1.0,1.0,1.0,Rental unit
1826381,9556892,Liuni,Kauai,North Shore Kauai,22.22635,-159.48561,Entire home/apt,477,2,119,1,182,20,4.79,3.0,3.0,2.0,Home
1606631,5792599,Kevin,Kauai,North Shore Kauai,22.22646,-159.47935,Entire home/apt,144,1,445,1,292,53,4.84,1.0,1.0,2.0,Condo
2405563,12298134,West Kauai,Kauai,Waimea-Kekaha,21.95367,-159.66831,Private room,169,2,140,6,233,16,4.35,1.0,1.0,1.0,Home
1892267,816630,Victoria,Kauai,North Shore Kauai,22.21981,-159.47121,Entire home/apt,242,1,122,1,73,8,4.82,3.0,3.0,1.0,Townhouse
2468439,12625475,Florence,Kauai,Koloa-Poipu,21.8827,-159.47508,Entire home/apt,220,4,73,5,138,8,4.74,1.0,1.0,1.0,Condo
2243590,2899937,Cindy,Kauai,North Shore Kauai,22.20789,-159.40651,Entire home/apt,350,10,77,1,243,6,4.84,3.0,3.0,2.0,Home
2548147,151181,Paula,Kauai,Koloa-Poipu,21.88254,-159.46423,Entire home/apt,222,3,193,2,182,34,4.84,1.0,1.0,1.0,Home
1943232,9585567,Tom,Kauai,Kapaa-Wailua,22.05231,-159.3282,Entire home/apt,282,3,206,3,107,43,4.82,0.0,1.0,1.0,Rental unit
2310670,11799045,Mary Ellen,Kauai,North Shore Kauai,22.22139,-159.44289,Entire home/apt,450,4,28,1,176,4,4.89,2.0,2.0,2.0,Cottage
2564868,9774304,Rae Carmen,Kauai,Kapaa-Wailua,22.0551,-159.32681,Entire home/apt,186,1,104,1,148,30,4.56,1.0,1.0,1.0,Condo
2584102,6360121,Dan & Erin,Kauai,North Shore Kauai,22.22085,-159.47679,Entire home/apt,143,2,231,1,0,0,4.48,0.0,1.0,1.0,Condo
1972409,10184521,Devaki,Kauai,North Shore Kauai,22.20624,-159.49632,Entire home/apt,358,2,161,1,207,27,4.88,1.0,1.0,1.0,Home
1989722,5654668,Molly,Kauai,Lihue,22.00882,-159.33914,Entire home/apt,185,2,90,15,336,10,4.32,1.0,1.0,1.0,Rental unit
2391884,1274041,Kendall,Kauai,Waimea-Kekaha,21.96528,-159.71209,Entire home/apt,202,1,128,5,164,20,4.65,3.0,3.0,2.0,Cottage
2881549,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06127,-159.32044,Entire home/apt,351,1,18,71,244,11,4.78,1.0,1.0,2.0,Condo
2898404,14813508,Nancy,Kauai,Lihue,22.01107,-159.33974,Entire home/apt,173,3,102,6,312,12,4.57,1.0,1.0,1.0,Rental unit
2904989,14841590,Maureen,Kauai,Koloa-Poipu,21.87178,-159.44655,Entire home/apt,291,4,130,1,218,9,4.77,1.0,1.0,1.0,Condo
3293468,16705530,Jack And Dorinda,Kauai,Koloa-Poipu,21.8828,-159.47501,Entire home/apt,276,5,20,2,112,1,4.85,1.0,1.0,5.0,Condo
2908135,756093,Kaua’i,Kauai,Kapaa-Wailua,22.06337,-159.32055,Entire home/apt,552,1,4,71,193,0,4.5,2.0,2.0,3.0,Condo
2941583,1275000,Norine,Kauai,Kapaa-Wailua,22.07206,-159.31765,Entire home/apt,300,7,18,1,363,1,4.72,1.0,1.0,1.0,Rental unit
2943440,2308436,Kauai,Kauai,Koloa-Poipu,21.88049,-159.47072,Entire home/apt,249,3,80,3,33,19,4.91,1.0,1.0,1.0,Guest suite
2960499,6137679,Paul And Amy,Kauai,Waimea-Kekaha,21.96148,-159.70497,Entire home/apt,375,1,229,2,105,48,4.88,2.0,2.0,5.0,Home
2677300,9585567,Tom,Kauai,Kapaa-Wailua,22.05205,-159.32831,Entire home/apt,231,3,211,3,107,36,4.81,0.0,1.0,1.0,Condo
2988859,14813508,Nancy,Kauai,Kapaa-Wailua,22.0555,-159.32504,Entire home/apt,189,3,171,6,326,32,4.63,2.0,2.0,1.0,Rental unit
2988941,15234450,Barry,Kauai,Lihue,22.03468,-159.33729,Entire home/apt,325,5,51,1,95,19,4.94,1.0,1.0,5.0,Condo
3415083,16189835,Margaret,Kauai,Kapaa-Wailua,22.0691,-159.32221,Entire home/apt,171,4,216,17,80,30,4.78,7.0,7.0,1.0,Rental unit
3424621,16189835,Margaret,Kauai,Kapaa-Wailua,22.0691,-159.32368,Entire home/apt,168,3,253,17,40,30,4.81,0.0,1.0,1.0,Rental unit
3441494,12298134,West Kauai,Kauai,Waimea-Kekaha,21.9544,-159.66961,Private room,169,2,119,6,206,24,4.3,1.0,1.0,1.0,Home
3441643,12298134,West Kauai,Kauai,Waimea-Kekaha,21.95602,-159.67042,Private room,159,2,69,6,213,12,4.54,1.0,1.0,1.0,Home
3441705,12298134,West Kauai,Kauai,Waimea-Kekaha,21.95431,-159.66767,Private room,149,2,86,6,197,19,4.31,1.0,1.0,1.0,Home
2721983,151181,Paula,Kauai,Koloa-Poipu,21.88329,-159.46482,Entire home/apt,570,1,32,2,249,30,4.97,3.0,3.0,2.0,Home
