id,host_id,host_name,availability_365,price,latitude,longitude,number_of_reviews,review_scores_rating,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,accommodates,bathrooms,bedrooms,beds,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,calculated_host_listings_count
91091,492687,Tony,365,657.0,22.2226,-159.4689,8,5.0,4,14,4.88,5.0,5.0,4.88,5.0,5.0,0,4,0.0,1.0,2.0,North Shore Kauai,Kauai,Private room,2
13238,51647,Annie/Greg,219,169.0,22.21789,-159.47184,166,4.48,3,1125,4.68,4.3,4.8,4.77,4.79,4.52,1,2,0.0,0.0,1.0,North Shore Kauai,Kauai,Entire home/apt,2
152645,710680,Karl&Rachel,140,110.0,22.22042,-159.47754,200,4.56,3,730,4.7,4.5,4.84,4.79,4.72,4.71,0,2,0.0,1.0,1.0,North Shore Kauai,Kauai,Entire home/apt,3
153304,710680,Karl&Rachel,146,195.0,22.22266,-159.47804,138,4.65,3,730,4.74,4.45,4.92,4.92,4.77,4.7,0,6,0.0,2.0,2.0,North Shore Kauai,Kauai,Entire home/apt,3
153397,710680,Karl&Rachel,95,285.0,22.22097,-159.47804,20,4.74,3,730,4.75,4.65,4.84,4.85,4.74,4.79,0,8,0.0,3.0,4.0,North Shore Kauai,Kauai,Entire home/apt,3
162600,756093,Kaua’i,131,588.0,22.06174,-159.32052,20,4.95,1,1125,4.95,4.9,4.95,4.9,5.0,4.75,0,6,0.0,2.0,3.0,Kapaa-Wailua,Kauai,Entire home/apt,71
56024,265302,Susan,97,1000.0,22.20206069946289,-159.5009002685547,43,4.93,2,60,5.0,4.85,4.97,5.0,5.0,4.85,0,12,0.0,5.0,8.0,North Shore Kauai,Kauai,Entire home/apt,1
71385,365193,Rhonda,365,380.0,22.21886,-159.47578,80,4.81,180,365,4.85,4.72,4.85,4.74,4.88,4.83,1,6,0.0,3.0,3.0,North Shore Kauai,Kauai,Entire home/apt,2
238797,1251758,Debra,86,300.0,21.96242,-159.70113,77,4.76,1,365,4.82,4.59,4.97,4.96,4.76,4.77,1,6,0.0,3.0,4.0,Waimea-Kekaha,Kauai,Entire home/apt,1
248735,7984,Ahlea,289,429.0,22.22793,-159.48309,282,4.95,1,760,4.96,4.95,4.95,4.87,4.96,4.86,0,4,0.0,2.0,2.0,North Shore Kauai,Kauai,Entire home/apt,3
