id,host_id,host_name,availability_365,price,latitude,longitude,number_of_reviews,review_scores_rating,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,accommodates,bathrooms,bedrooms,beds,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,calculated_host_listings_count
84405,461037,Crystal,298,687.0,20.99596,-156.66574,28,4.5,3,30,4.57,4.21,4.64,4.5,4.89,4.36,0,8,0.0,3.0,4.0,Lahaina,Maui,Entire home/apt,22
85701,469871,Jan,190,350.0,20.9515,-156.68933,2,5.0,3,730,5.0,5.0,5.0,5.0,5.0,5.0,0,4,0.0,1.0,2.0,Lahaina,Maui,Entire home/apt,1
102918,492687,Tony,269,757.0,20.93804,-156.69193,21,4.86,4,14,4.6,4.85,4.8,4.85,4.85,4.4,0,4,0.0,1.0,1.0,Lahaina,Maui,Private room,2
7896,21844,Caroline,268,160.0,20.75684,-156.45631,61,4.63,4,365,4.78,4.53,4.84,4.88,4.81,4.55,0,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,1
13528,52969,Lisa,57,250.0,20.72413,-156.44767,244,4.74,1,365,4.82,4.68,4.83,4.84,4.92,4.72,0,6,0.0,2.0,2.0,Kihei-Makena,Maui,Entire home/apt,3
13799,54237,Donald,102,132.0,20.75723,-156.45704,207,4.77,2,730,4.84,4.69,4.89,4.86,4.86,4.71,0,4,0.0,1.0,1.0,Kihei-Makena,Maui,Entire home/apt,1
128160,634010,Melinda,8,900.0,20.94196,-156.69187,1,5.0,5,7,5.0,5.0,5.0,5.0,5.0,5.0,0,6,0.0,2.0,3.0,Lahaina,Maui,Private room,1
13899,54660,Dennis,0,345.0,20.94837,-156.69075,15,4.73,7,7,4.4,4.8,4.6,4.87,5.0,4.93,1,4,0.0,1.0,2.0,Lahaina,Maui,Entire home/apt,10
15757,61673,Libertad,51,131.0,20.95426,-156.68576,290,4.51,3,28,4.67,4.76,4.83,4.72,4.74,4.54,0,3,0.0,1.0,2.0,Lahaina,Maui,Entire home/apt,1
155360,747055,Maria,280,822.0,20.91635,-156.37786,69,4.91,6,730,4.9,4.91,4.91,4.96,4.9,4.63,0,6,0.0,3.0,4.0,Paia-Haiku,Maui,Entire home/apt,5
16914,65594,Kevin,23,194.0,20.95466,-156.68523,101,4.79,6,180,4.88,4.8,4.98,4.98,4.94,4.85,0,4,0.0,2.0,3.0,Lahaina,Maui,Entire home/apt,1
24500,99312,Romelle,168,199.0,20.71946,-156.44667,399,4.86,2,90,4.88,4.85,4.91,4.89,4.88,4.8,0,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,1
30236,130393,George,171,169.0,20.71851,-156.4455,196,4.56,5,1125,4.72,4.58,4.74,4.75,4.84,4.6,0,2,0.0,0.0,2.0,Kihei-Makena,Maui,Entire home/apt,1
168266,743900,Mangolani Inn,359,366.0,20.90978,-156.37557,45,4.88,3,90,4.93,4.95,4.8,4.9,4.86,4.67,0,2,0.0,0.0,1.0,Paia-Haiku,Maui,Private room,3
174078,831472,Ye,312,319.0,20.94822,-156.69067,8,4.83,7,7,4.67,5.0,4.83,5.0,5.0,4.83,0,4,0.0,1.0,3.0,Lahaina,Maui,Private room,1
177939,743900,Mangolani Inn,258,407.0,20.90874,-156.37628,54,4.81,4,90,4.81,4.96,4.89,4.87,4.83,4.64,0,2,0.0,0.0,2.0,Paia-Haiku,Maui,Entire home/apt,3
181989,872202,Nina & Anders,113,289.0,20.962015,-156.683578,285,4.78,3,32,4.81,4.82,4.91,4.86,4.9,4.7,0,2,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,1
40298,173185,Steve & Jette,138,385.0,20.91152,-156.22534,55,4.91,7,200,4.95,4.93,4.98,5.0,4.78,4.84,0,4,0.0,2.0,3.0,Paia-Haiku,Maui,Entire home/apt,1
192610,932861,Poni,307,300.0,20.92459,-156.37028,269,4.71,5,365,4.78,4.76,4.92,4.85,4.75,4.57,0,4,0.0,1.0,2.0,Paia-Haiku,Maui,Entire home/apt,3
40803,176324,John,195,249.0,20.75915,-156.45723,130,4.9,4,730,4.95,4.92,4.94,4.96,4.94,4.89,0,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,1
46473,207897,Carolyn,236,185.0,20.72957,-156.45151,229,4.82,1,365,4.89,4.77,4.93,4.92,4.94,4.77,1,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,6
46477,207897,Carolyn,342,304.0,20.73025,-156.45171,218,4.61,1,365,4.74,4.65,4.89,4.85,4.79,4.64,0,6,0.0,2.0,3.0,Kihei-Makena,Maui,Entire home/apt,6
195220,87832401,Lance,200,284.0,20.87538,-156.6746,123,4.8,4,365,4.89,4.83,4.93,4.88,4.9,4.8,0,6,0.0,2.0,3.0,Lahaina,Maui,Entire home/apt,2
54047,1793811,Jim,182,607.0,20.70288,-156.44411,116,4.7,5,60,4.79,4.78,4.87,4.77,4.96,4.58,0,6,0.0,3.0,5.0,Kihei-Makena,Maui,Entire home/apt,1
200441,980100,Eva,122,239.0,20.70986,-156.43828,33,4.79,1,21,4.87,4.81,4.97,4.85,4.79,4.79,1,2,0.0,0.0,1.0,Kihei-Makena,Maui,Private room,4
216766,1118742,Carol,343,265.0,20.87393,-156.67642,168,4.64,1,365,4.72,4.52,4.79,4.75,4.87,4.57,0,6,0.0,2.0,3.0,Lahaina,Maui,Entire home/apt,17
218378,547507,Kathryn,152,150.0,20.9593,-156.68347,18,4.53,2,365,4.71,4.41,4.82,5.0,4.88,4.53,0,3,0.0,1.0,2.0,Lahaina,Maui,Entire home/apt,1
74862,207897,Carolyn,263,174.0,20.72916,-156.45055,241,4.69,2,1125,4.83,4.64,4.9,4.9,4.89,4.71,1,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,6
304658,1567340,Aaron,197,226.0,20.76404,-156.45781,224,4.76,1,190,4.92,4.78,4.97,4.91,4.84,4.78,0,3,0.0,0.0,2.0,Kihei-Makena,Maui,Entire home/apt,2
325502,87832401,Lance,228,290.0,20.8751,-156.67447,91,4.91,4,365,4.9,4.88,4.91,4.89,4.98,4.86,0,6,0.0,2.0,3.0,Lahaina,Maui,Entire home/apt,2
253427,1330563,Matt,255,200.0,21.19013,-157.24693,94,4.92,6,30,4.89,4.7,4.91,4.9,4.96,4.92,0,4,0.0,1.0,2.0,Molokai,Maui,Entire home/apt,1
347803,1118742,Carol,187,295.0,20.87319,-156.67451,104,4.48,1,1125,4.62,4.45,4.7,4.79,4.86,4.39,0,6,0.0,2.0,3.0,Lahaina,Maui,Entire home/apt,17
350658,1777197,Rod,52,230.0,20.71242,-156.44419,18,4.89,5,60,4.94,4.56,4.94,5.0,5.0,4.83,0,3,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,1
266804,1399029,Maureen,329,222.0,20.88678,-156.50198,46,4.53,7,30,4.58,4.8,4.78,4.78,4.62,4.49,0,4,0.0,2.0,2.0,Wailuku-Kahului,Maui,Entire home/apt,5
268423,1512250,Bill & Tracey,90,165.0,20.76291,-156.45734,457,4.82,2,14,4.89,4.79,4.92,4.94,4.82,4.83,1,2,0.0,0.0,1.0,Kihei-Makena,Maui,Entire home/apt,1
363961,1838701,Sharyn,202,446.0,20.90575,-156.22237,83,4.96,2,1125,4.99,5.0,4.99,4.99,4.98,4.86,0,2,0.0,1.0,2.0,Paia-Haiku,Maui,Entire home/apt,5
274808,1118742,Carol,233,219.0,20.87357,-156.67622,161,4.64,1,365,4.72,4.61,4.8,4.76,4.91,4.62,0,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,17
278204,1452413,Stefano,166,190.0,20.92887,-156.31764,104,4.57,3,365,4.77,4.66,4.87,4.79,4.78,4.63,0,3,0.0,1.0,3.0,Paia-Haiku,Maui,Entire home/apt,6
375102,1469221,Barbara,235,150.0,20.70975,-156.44107,186,4.95,7,180,4.92,4.94,4.94,4.98,4.93,4.9,0,2,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,1
375207,1118742,Carol,238,495.0,20.93473,-156.69041,169,4.67,1,1125,4.7,4.52,4.8,4.76,4.83,4.71,1,8,0.0,3.0,4.0,Lahaina,Maui,Entire home/apt,17
376440,1892773,Ron,245,2343.0,20.92211,-156.37335,188,4.63,5,25,4.69,4.46,4.87,4.64,4.87,4.38,0,12,0.0,6.0,6.0,Paia-Haiku,Maui,Entire home/apt,1
285009,207897,Carolyn,251,232.0,20.71993,-156.44559,262,4.8,2,365,4.89,4.84,4.93,4.89,4.94,4.8,0,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,6
286807,1486449,Mary,365,301.0,20.7189,-156.3393,16,4.57,181,182,4.44,4.88,4.63,4.75,4.63,4.31,0,2,0.0,0.0,1.0,Makawao-Pukalani-Kula,Maui,Private room,1
404459,2015818,Susan,242,880.0,20.86686,-156.67308,91,4.78,3,365,4.69,4.79,4.92,4.92,4.95,4.64,1,8,0.0,4.0,5.0,Lahaina,Maui,Entire home/apt,1
410705,2044335,Bonniestar,227,134.0,20.91031,-156.32267,249,4.74,3,1125,4.83,4.67,4.87,4.88,4.77,4.77,1,3,0.0,0.0,2.0,Paia-Haiku,Maui,Private room,1
300353,1547207,Sydney,197,374.0,20.87159,-156.31358,254,4.99,3,1125,4.96,4.97,5.0,5.0,4.96,4.92,1,4,0.0,1.0,2.0,Paia-Haiku,Maui,Entire home/apt,2
557880,2742979,Lawrence,190,295.0,20.69944,-156.4397,20,4.89,4,1125,4.89,4.89,4.95,4.89,4.95,4.63,1,4,0.0,1.0,1.0,Kihei-Makena,Maui,Entire home/apt,1
578041,1399029,Maureen,200,162.0,20.88683,-156.50165,12,5.0,7,30,4.92,5.0,5.0,5.0,4.92,4.75,0,2,0.0,0.0,1.0,Wailuku-Kahului,Maui,Private room,5
430401,224701170,Deb,100,249.0,20.72689,-156.44882,131,4.69,7,45,4.74,4.62,4.87,4.84,4.9,4.75,1,6,0.0,3.0,4.0,Kihei-Makena,Maui,Entire home/apt,2
578790,2847058,Elizabeth,270,154.0,20.71646,-156.44409,194,4.76,2,180,4.86,4.8,4.89,4.86,4.93,4.79,0,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,2
430961,224701170,Deb,113,176.0,20.72446,-156.44726,160,4.66,7,45,4.84,4.57,4.91,4.77,4.84,4.74,0,2,0.0,1.0,1.0,Kihei-Makena,Maui,Entire home/apt,2
582964,1399029,Maureen,308,177.0,20.88502,-156.50166,29,4.72,7,30,4.83,4.97,4.79,4.76,4.86,4.66,0,2,0.0,0.0,1.0,Wailuku-Kahului,Maui,Private room,5
585499,2847058,Elizabeth,287,178.0,20.71643,-156.4441,144,4.61,2,180,4.78,4.83,4.87,4.88,4.91,4.67,0,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,2
587542,1399029,Maureen,258,147.0,20.88683,-156.50181,38,4.78,7,30,4.78,4.83,4.92,4.94,4.61,4.69,0,2,0.0,0.0,1.0,Wailuku-Kahului,Maui,Private room,5
591538,1399029,Maureen,322,183.0,20.88593,-156.50177,40,4.62,7,30,4.76,4.79,4.79,4.61,4.71,4.53,0,2,0.0,0.0,1.0,Wailuku-Kahului,Maui,Private room,5
465622,2312969,April,115,188.0,20.87429,-156.6751,169,4.83,3,365,4.96,4.83,4.98,4.85,4.98,4.84,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,5
598062,2957218,Jim & Judy,178,257.0,20.96266,-156.68389,120,4.87,1,1125,4.88,4.85,4.91,4.96,4.88,4.78,0,2,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,1
600944,7532,Tracy,335,171.0,20.76509,-156.45675,361,4.94,1,1125,4.96,4.96,4.99,4.99,4.85,4.85,1,2,0.0,0.0,1.0,Kihei-Makena,Maui,Entire home/apt,15
622562,3086316,James,145,256.0,20.97245,-156.6772,56,4.95,4,9,4.96,4.93,4.91,4.91,4.94,4.89,1,3,0.0,0.0,2.0,Lahaina,Maui,Entire home/apt,1
631767,3141969,Tom & Vicki,322,355.0,20.89781,-156.3038,49,4.94,5,21,4.9,4.98,4.96,4.98,4.83,4.83,0,4,0.0,2.0,2.0,Paia-Haiku,Maui,Entire home/apt,3
631783,3141969,Tom & Vicki,365,330.0,20.89582,-156.30391,22,4.77,5,1125,4.95,5.0,4.86,4.91,4.68,4.59,0,3,0.0,2.0,2.0,Paia-Haiku,Maui,Entire home/apt,3
523562,2574275,John,311,300.0,20.925730830604078,-156.36821385894933,186,4.69,3,1125,4.75,4.62,4.81,4.82,4.88,4.6,0,4,0.0,2.0,2.0,Paia-Haiku,Maui,Entire home/apt,1
648353,2088791,Gary & Marianne,353,125.0,20.87055,-156.3101,489,4.72,1,4,4.88,4.83,4.82,4.78,4.72,4.6,0,2,0.0,0.0,1.0,Paia-Haiku,Maui,Private room,3
648355,3240542,Jeff,45,290.0,20.77035,-156.32116,309,4.96,4,27,4.98,4.9,4.99,4.98,4.93,4.93,0,4,0.0,2.0,2.0,Makawao-Pukalani-Kula,Maui,Entire home/apt,1
651445,53489,Maui Garden Oasis,365,75.0,20.89844,-156.6835,0,0.0,180,1125,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,Lahaina,Maui,Private room,2
652716,3280543,Eve,261,939.0,20.87003,-156.31352,127,4.9,4,1125,4.91,4.86,4.97,4.98,4.86,4.78,1,10,0.0,5.0,9.0,Paia-Haiku,Maui,Entire home/apt,4
535213,2629713,Sue,121,337.0,20.97461,-156.6783,91,4.84,3,75,4.92,4.72,4.97,4.83,4.89,4.82,0,2,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,1
